time,x,y,value
0,144,-37,0
43200,144.21,-38.21,1
46800,144.21,-37.06,1
50400,144.21,-37.05,1
28800,144.23,-38.07,1
0,144.23,-37.59,1
39600,144.23,-37.58,1
61200,144.23,-37.58,2
21600,144.24,-37.59,2
25200,144.24,-37.59,1
36000,144.24,-37.59,2
39600,144.24,-37.59,2
43200,144.24,-37.59,1
36000,144.25,-37.59,1
46800,144.25,-37.59,1
57600,144.25,-37.59,2
68400,144.25,-37.59,1
82800,144.26,-38.21,1
39600,144.26,-38.08,1
36000,144.26,-37.59,1
57600,144.26,-37.59,1
72000,144.26,-37.59,1
54000,144.27,-37.60,1
68400,144.27,-37.60,1
61200,144.28,-37.60,1
28800,144.29,-38.17,1
39600,144.29,-37.61,1
46800,144.29,-37.61,1
50400,144.29,-37.60,1
28800,144.30,-38.20,1
57600,144.30,-38.20,1
14400,144.30,-38.19,1
18000,144.30,-38.16,1
50400,144.30,-37.61,1
57600,144.30,-37.61,2
68400,144.30,-37.61,1
75600,144.30,-37.61,1
46800,144.31,-38.30,1
25200,144.31,-38.20,1
46800,144.31,-38.17,1
54000,144.31,-38.16,1
21600,144.31,-38.13,1
25200,144.31,-37.91,1
39600,144.31,-37.91,1
46800,144.31,-37.91,1
54000,144.31,-37.91,1
54000,144.31,-37.61,1
39600,144.31,-37.60,1
54000,144.31,-37.60,1
61200,144.32,-38.13,1
36000,144.32,-38.10,1
43200,144.32,-38.09,1
54000,144.32,-37.61,1
68400,144.32,-37.61,1
50400,144.32,-37.60,1
61200,144.32,-37.60,1
32400,144.32,-37.39,1
50400,144.33,-38.15,1
61200,144.33,-38.14,1
43200,144.33,-38.12,1
14400,144.33,-38.06,1
21600,144.33,-38.06,1
32400,144.33,-38.06,1
36000,144.33,-38.06,2
39600,144.33,-38.06,1
54000,144.33,-38.06,1
75600,144.33,-38.06,1
39600,144.33,-37.61,2
46800,144.33,-37.61,1
54000,144.33,-37.61,1
57600,144.33,-37.61,1
61200,144.33,-37.61,1
68400,144.33,-37.61,1
50400,144.34,-38.24,1
25200,144.34,-38.17,1
61200,144.34,-38.14,1
72000,144.34,-38.14,1
14400,144.34,-38.11,1
0,144.34,-38.10,1
7200,144.34,-38.10,1
21600,144.34,-38.10,1
28800,144.34,-38.10,1
32400,144.34,-38.10,1
39600,144.34,-38.10,1
61200,144.34,-38.10,1
64800,144.34,-38.10,1
68400,144.34,-38.10,1
72000,144.34,-38.10,1
21600,144.34,-38.09,1
39600,144.34,-38.06,2
39600,144.34,-37.63,1
50400,144.34,-37.63,1
14400,144.34,-37.62,1
28800,144.34,-37.62,1
39600,144.34,-37.62,1
50400,144.34,-37.62,2
54000,144.34,-37.62,1
57600,144.34,-37.62,1
68400,144.34,-37.62,1
72000,144.34,-37.62,1
36000,144.35,-38.15,1
39600,144.35,-38.15,1
50400,144.35,-38.14,1
57600,144.35,-38.13,1
21600,144.35,-38.12,1
57600,144.35,-38.11,1
64800,144.35,-38.11,1
39600,144.35,-38.01,1
39600,144.35,-37.98,1
50400,144.35,-37.98,1
21600,144.35,-37.63,1
32400,144.35,-37.63,1
36000,144.35,-37.63,1
39600,144.35,-37.63,1
43200,144.35,-37.63,1
46800,144.35,-37.63,1
50400,144.35,-37.63,2
54000,144.35,-37.63,1
64800,144.35,-37.63,1
75600,144.35,-37.63,1
14400,144.36,-38.22,1
36000,144.36,-38.22,1
43200,144.36,-38.17,1
50400,144.36,-38.16,3
25200,144.36,-38.15,1
46800,144.36,-38.15,1
14400,144.36,-38.14,1
36000,144.36,-38.14,1
50400,144.36,-38.10,1
54000,144.36,-38.10,1
7200,144.36,-38.09,1
21600,144.36,-38.09,1
36000,144.36,-38.09,1
28800,144.36,-38.05,1
32400,144.36,-38.05,1
36000,144.36,-38.05,1
43200,144.36,-38.02,1
61200,144.36,-37.66,1
25200,144.36,-37.65,1
46800,144.36,-37.65,1
28800,144.36,-37.64,1
46800,144.36,-37.64,1
50400,144.36,-37.64,1
68400,144.36,-37.64,1
75600,144.36,-37.64,1
28800,144.36,-37.63,2
36000,144.36,-37.63,2
43200,144.36,-37.63,1
46800,144.36,-37.63,2
43200,144.37,-38.22,1
18000,144.37,-38.18,1
61200,144.37,-38.17,1
32400,144.37,-38.15,1
21600,144.37,-38.10,1
28800,144.37,-38.09,1
36000,144.37,-38.09,2
18000,144.37,-38.08,1
54000,144.37,-38.07,1
32400,144.37,-38.06,1
61200,144.37,-38.06,1
32400,144.37,-38.05,1
43200,144.37,-38.05,1
50400,144.37,-38.05,1
25200,144.37,-37.73,1
32400,144.37,-37.66,1
46800,144.37,-37.66,1
54000,144.37,-37.66,1
57600,144.37,-37.66,2
61200,144.37,-37.66,1
72000,144.37,-37.66,1
39600,144.37,-37.65,1
46800,144.37,-37.65,1
50400,144.37,-37.65,2
57600,144.37,-37.65,1
79200,144.37,-37.65,1
54000,144.38,-38.24,1
36000,144.38,-38.08,1
3600,144.38,-38.07,1
32400,144.38,-38.05,1
32400,144.38,-38.04,1
68400,144.38,-38.04,1
25200,144.38,-38.01,1
54000,144.38,-38.01,1
14400,144.38,-37.66,1
21600,144.38,-37.66,1
25200,144.38,-37.66,1
36000,144.38,-37.66,1
54000,144.38,-37.66,2
57600,144.38,-37.66,1
61200,144.38,-37.66,1
64800,144.38,-37.66,2
21600,144.39,-38.18,1
64800,144.39,-38.18,1
3600,144.39,-38.17,1
18000,144.39,-38.16,1
36000,144.39,-38.06,1
25200,144.39,-37.73,1
61200,144.39,-37.73,1
25200,144.39,-37.66,1
36000,144.39,-37.66,1
39600,144.39,-37.66,2
43200,144.39,-37.66,1
46800,144.39,-37.66,2
57600,144.39,-37.66,2
61200,144.39,-37.66,3
28800,144.40,-38.16,1
36000,144.40,-37.89,1
25200,144.40,-37.70,1
50400,144.40,-37.70,1
21600,144.40,-37.68,1
50400,144.40,-37.68,1
57600,144.40,-37.68,1
25200,144.40,-37.66,1
36000,144.40,-37.66,2
39600,144.40,-37.66,1
43200,144.40,-37.66,1
50400,144.40,-37.66,1
57600,144.40,-37.66,1
36000,144.41,-38.03,1
43200,144.41,-38.03,1
18000,144.41,-38.02,1
57600,144.41,-38.02,1
36000,144.41,-37.69,1
25200,144.41,-37.68,1
28800,144.41,-37.68,3
32400,144.41,-37.68,1
39600,144.41,-37.68,1
46800,144.41,-37.68,1
64800,144.41,-37.68,3
68400,144.41,-37.68,1
43200,144.41,-37.67,1
18000,144.41,-37.66,1
28800,144.41,-37.66,1
32400,144.41,-37.66,2
36000,144.41,-37.66,1
39600,144.41,-37.66,2
43200,144.41,-37.66,2
46800,144.41,-37.66,2
50400,144.41,-37.66,1
54000,144.41,-37.66,2
61200,144.41,-37.66,2
64800,144.41,-37.66,4
68400,144.41,-37.66,1
75600,144.41,-37.66,1
36000,144.41,-37.29,1
39600,144.42,-38.17,1
32400,144.42,-38.03,1
36000,144.42,-38.03,1
57600,144.42,-38.03,1
72000,144.42,-38.03,1
79200,144.42,-38.03,1
21600,144.42,-38.02,1
21600,144.42,-37.68,1
25200,144.42,-37.68,2
28800,144.42,-37.68,1
32400,144.42,-37.68,2
46800,144.42,-37.68,1
50400,144.42,-37.68,1
57600,144.42,-37.68,2
72000,144.42,-37.68,1
25200,144.42,-37.67,6
32400,144.42,-37.67,1
39600,144.42,-37.67,2
43200,144.42,-37.67,1
50400,144.42,-37.67,1
54000,144.42,-37.67,4
57600,144.42,-37.67,1
64800,144.42,-37.67,2
68400,144.42,-37.67,1
21600,144.42,-37.66,2
25200,144.42,-37.66,3
28800,144.42,-37.66,2
43200,144.42,-37.66,1
57600,144.42,-37.66,1
75600,144.42,-37.66,1
25200,144.42,-37.65,1
28800,144.42,-37.65,1
36000,144.42,-37.65,1
43200,144.42,-37.65,1
68400,144.42,-37.65,1
39600,144.42,-37.64,1
21600,144.42,-37.63,1
54000,144.42,-37.63,1
39600,144.43,-38.02,1
43200,144.43,-38.02,1
54000,144.43,-38.02,1
57600,144.43,-38.02,1
61200,144.43,-38.02,3
64800,144.43,-38.02,1
68400,144.43,-38.02,1
79200,144.43,-38.02,1
36000,144.43,-37.77,1
54000,144.43,-37.77,1
25200,144.43,-37.76,1
21600,144.43,-37.68,1
25200,144.43,-37.68,2
39600,144.43,-37.68,5
43200,144.43,-37.68,1
46800,144.43,-37.68,1
54000,144.43,-37.68,1
61200,144.43,-37.68,1
64800,144.43,-37.68,1
18000,144.43,-37.67,1
21600,144.43,-37.67,1
25200,144.43,-37.67,1
32400,144.43,-37.67,1
36000,144.43,-37.67,1
39600,144.43,-37.67,2
43200,144.43,-37.67,3
46800,144.43,-37.67,3
50400,144.43,-37.67,3
54000,144.43,-37.67,3
57600,144.43,-37.67,1
61200,144.43,-37.67,1
68400,144.43,-37.67,2
72000,144.43,-37.67,1
75600,144.43,-37.67,1
21600,144.43,-37.66,1
25200,144.43,-37.66,2
28800,144.43,-37.66,1
36000,144.43,-37.66,2
39600,144.43,-37.66,1
43200,144.43,-37.66,1
46800,144.43,-37.66,1
54000,144.43,-37.66,3
57600,144.43,-37.66,2
61200,144.43,-37.66,2
64800,144.43,-37.66,2
68400,144.43,-37.66,1
72000,144.43,-37.66,1
75600,144.43,-37.66,1
25200,144.43,-37.65,1
28800,144.43,-37.65,1
36000,144.43,-37.65,1
46800,144.43,-37.65,1
64800,144.43,-37.65,1
75600,144.43,-37.65,1
36000,144.43,-37.64,1
43200,144.43,-37.60,1
18000,144.44,-38.02,1
39600,144.44,-38.02,2
46800,144.44,-38.02,1
50400,144.44,-38.02,2
54000,144.44,-38.02,1
57600,144.44,-38.02,1
64800,144.44,-38.02,1
68400,144.44,-38.02,1
72000,144.44,-38.02,1
75600,144.44,-38.02,1
79200,144.44,-38.02,1
61200,144.44,-38.01,1
57600,144.44,-37.76,1
28800,144.44,-37.74,2
54000,144.44,-37.74,1
82800,144.44,-37.74,1
28800,144.44,-37.69,1
43200,144.44,-37.69,1
54000,144.44,-37.69,1
28800,144.44,-37.68,3
39600,144.44,-37.68,1
46800,144.44,-37.68,1
54000,144.44,-37.68,2
57600,144.44,-37.68,1
61200,144.44,-37.68,1
43200,144.44,-37.67,1
50400,144.44,-37.67,3
54000,144.44,-37.67,1
57600,144.44,-37.67,1
61200,144.44,-37.67,1
28800,144.44,-37.66,1
32400,144.44,-37.66,3
36000,144.44,-37.66,1
39600,144.44,-37.66,1
43200,144.44,-37.66,2
46800,144.44,-37.66,4
50400,144.44,-37.66,1
54000,144.44,-37.66,1
61200,144.44,-37.66,1
64800,144.44,-37.66,1
68400,144.44,-37.66,1
14400,144.44,-37.65,1
25200,144.44,-37.65,1
28800,144.44,-37.65,2
32400,144.44,-37.65,2
39600,144.44,-37.65,1
50400,144.44,-37.65,3
54000,144.44,-37.65,1
57600,144.44,-37.65,2
61200,144.44,-37.65,2
64800,144.44,-37.65,1
72000,144.44,-37.65,1
75600,144.44,-37.65,1
28800,144.44,-37.59,1
39600,144.45,-38.27,1
25200,144.45,-38.18,1
25200,144.45,-38.02,1
32400,144.45,-38.02,1
36000,144.45,-38.02,1
54000,144.45,-38.02,1
25200,144.45,-38.01,1
28800,144.45,-38.01,1
32400,144.45,-38.01,1
36000,144.45,-38.01,1
43200,144.45,-38.01,1
54000,144.45,-38.01,3
57600,144.45,-38.01,1
61200,144.45,-38.01,3
72000,144.45,-38.01,1
54000,144.45,-37.97,1
18000,144.45,-37.78,1
39600,144.45,-37.78,1
61200,144.45,-37.78,1
75600,144.45,-37.78,1
57600,144.45,-37.71,1
36000,144.45,-37.70,1
68400,144.45,-37.70,1
25200,144.45,-37.69,1
46800,144.45,-37.68,1
50400,144.45,-37.67,1
72000,144.45,-37.67,1
0,144.45,-37.66,1
25200,144.45,-37.66,1
39600,144.45,-37.66,2
57600,144.45,-37.66,1
61200,144.45,-37.66,1
64800,144.45,-37.66,1
68400,144.45,-37.66,1
54000,144.45,-37.65,1
14400,144.45,-37.58,1
46800,144.45,-37.57,1
61200,144.45,-37.57,1
14400,144.45,-37.56,1
25200,144.45,-37.56,1
75600,144.45,-37.56,1
54000,144.45,-37.33,1
28800,144.45,-37.24,1
32400,144.45,-37.24,1
50400,144.45,-37.24,2
46800,144.46,-38.20,1
18000,144.46,-38.01,2
21600,144.46,-38.01,2
28800,144.46,-38.01,1
43200,144.46,-38.01,1
54000,144.46,-38.01,4
61200,144.46,-38.01,1
64800,144.46,-38.01,1
14400,144.46,-38.00,1
57600,144.46,-38.00,1
43200,144.46,-37.97,1
43200,144.46,-37.96,1
50400,144.46,-37.95,1
61200,144.46,-37.95,1
28800,144.46,-37.78,1
28800,144.46,-37.68,1
43200,144.46,-37.68,3
50400,144.46,-37.68,1
54000,144.46,-37.68,1
57600,144.46,-37.68,1
64800,144.46,-37.68,1
68400,144.46,-37.68,1
79200,144.46,-37.68,2
21600,144.46,-37.67,1
32400,144.46,-37.67,1
36000,144.46,-37.67,1
39600,144.46,-37.67,2
43200,144.46,-37.67,1
46800,144.46,-37.67,1
50400,144.46,-37.67,3
54000,144.46,-37.67,1
57600,144.46,-37.67,3
32400,144.46,-37.66,1
39600,144.46,-37.66,1
57600,144.46,-37.66,1
64800,144.46,-37.66,1
68400,144.46,-37.66,1
28800,144.46,-37.63,1
39600,144.46,-37.63,1
43200,144.46,-37.63,1
36000,144.46,-37.62,1
46800,144.46,-37.62,1
14400,144.46,-37.54,1
36000,144.46,-37.25,1
82800,144.46,-37.25,1
36000,144.47,-38.02,1
18000,144.47,-38.01,1
28800,144.47,-38.01,1
32400,144.47,-38.01,1
39600,144.47,-38.01,1
